artistName,kind,primaryGenreName,trackName
Panic! At the Disco,song,Alternative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
Michael Jackson,song,Pop,You Are Not Alone
twenty one pilots,song,Alternative,Heavydirtysoul
Frankie Valli,song,Rock,Can't Take My Eyes Off You
Michael Jackson,song,Pop,Thriller
Incubus,song,Alternative,Drive
Michael Jackson,song,Pop,Will You Be There
G-Eazy,song,Hip-Hop/Rap,I Mean It (feat. Remo)
Foster the People,song,Alternative,Don't Stop (Color On the Walls)
Jake Owen,song,Country,Anywhere with You
